@relation method
@attribute "NESTEDNESS_LOCKS" string
@attribute "NESTEDNESS_SYNCHRONIZED" string
@attribute "NESTEDNESS_CONDITIONALS" string
@attribute "NESTEDNESS_LOOPS" string
@attribute "WHILE_WAIT" string
@attribute "CONDITIONAL_WAIT" string
@attribute "DOUBLE_CHECKED_LOCK" string
@data
0, 2..4, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
1, 1, 2..4, 1, 1, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 5..20, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 5..20, 1, 0, 1, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 2..4, 0, 0, 0, 1
1, 1, 5..20, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 2..4, 5..20, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 2..4, 5..20, 0, 0, 0, 1
0, 1, 5..20, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 5..20, 0, 0, 0, 1
0, 2..4, 5..20, 2..4, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 5..20, 2..4, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 2..4, 0, 0, 0, 1
0, 2..4, 5..20, 2..4, 0, 0, 1
0, 2..4, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 2..4, 5..20, 0, 0, 0, 1
0, 2..4, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 5..20, 1, 0, 0, 1
0, 1, 5..20, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 2..4, 0, 0, 0, 1
0, 2..4, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 2..4, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
1, 1, 2..4, 0, 0, 0, 1
1, 1, 5..20, 0, 0, 0, 1
0, 1, 1, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
1, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
1, 1, 5..20, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
1, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 5..20, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 2..4, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
1, 1, 2..4, 1, 0, 0, 1
1, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 2..4, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 5..20, 2..4, 1, 1, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 5..20, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 5..20, 1, 0, 0, 1
0, 1, 5..20, 1, 0, 0, 1
0, 1, 5..20, 1, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 2..4, 2..4, 1, 0, 0, 1
0, 2..4, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 2..4, 0, 0, 1
0, 1, 2..4, 1, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
0, 1, 2..4, 0, 0, 0, 1
